hmin,smin,vmin,F1 Score
30,142,56,0.12727272727272726
30,142,59,0.11009174311926606
30,142,62,0.09259259259259259
30,142,65,0.09259259259259259
30,142,68,0.07476635514018691
30,142,71,0.07476635514018691
30,142,74,0.07476635514018691
30,142,77,0.07476635514018691
30,142,80,0.07476635514018691
30,142,83,0.07476635514018691
30,142,86,0.09259259259259259
30,142,89,0.09259259259259259
30,142,92,0.09259259259259259
30,142,95,0.05660377358490566
30,142,98,0.07476635514018691
30,142,101,0.07476635514018691
30,142,104,0.07476635514018691
30,142,107,0.05660377358490566
30,142,110,0.05660377358490566
30,142,113,0.05660377358490566
30,142,116,0.03809523809523809
30,142,119,0.01923076923076923
30,145,50,0.11009174311926606
30,145,53,0.11009174311926606
30,145,56,0.12727272727272726
30,145,59,0.11009174311926606
30,145,62,0.09259259259259259
30,145,65,0.09259259259259259
30,145,68,0.09259259259259259
30,145,71,0.07476635514018691
30,145,74,0.07476635514018691
30,145,77,0.07476635514018691
30,145,80,0.07476635514018691
30,145,83,0.07476635514018691
30,145,86,0.09259259259259259
30,145,89,0.09259259259259259
30,145,92,0.09259259259259259
30,145,95,0.05660377358490566
30,145,98,0.07476635514018691
30,145,101,0.07476635514018691
30,145,104,0.07476635514018691
30,145,107,0.05660377358490566
30,145,110,0.03809523809523809
30,145,113,0.03809523809523809
30,145,116,0.03809523809523809
30,145,119,0.03809523809523809
30,148,50,0.09259259259259259
30,148,53,0.09259259259259259
30,148,56,0.11009174311926606
30,148,59,0.09259259259259259
30,148,62,0.07476635514018691
30,148,65,0.05660377358490566
30,148,68,0.05660377358490566
30,148,71,0.03809523809523809
30,148,74,0.03809523809523809
30,148,77,0.05660377358490566
30,148,80,0.05660377358490566
30,148,83,0.05660377358490566
30,148,86,0.07476635514018691
30,148,89,0.07476635514018691
30,148,92,0.05660377358490566
30,148,95,0.03809523809523809
30,148,98,0.05660377358490566
30,148,101,0.05660377358490566
30,148,104,0.05660377358490566
30,148,107,0.05660377358490566
30,148,110,0.03809523809523809
30,148,113,0.03809523809523809
30,148,116,0.03809523809523809
30,148,119,0.01923076923076923
30,151,50,0.07476635514018691
30,151,53,0.05660377358490566
30,151,56,0.09259259259259259
30,151,59,0.07476635514018691
30,151,62,0.05660377358490566
30,151,65,0.03809523809523809
30,151,68,0.03809523809523809
30,151,71,0.01923076923076923
30,151,74,0.01923076923076923
30,151,77,0.03809523809523809
30,151,80,0.03809523809523809
30,151,83,0.03809523809523809
30,151,86,0.05660377358490566
30,151,89,0.05660377358490566
30,151,92,0.05660377358490566
30,151,95,0.01923076923076923
30,151,98,0.01923076923076923
30,151,101,0.01923076923076923
30,151,104,0.01923076923076923
30,151,107,0.01923076923076923
30,151,110,0.01923076923076923
30,151,113,0.01923076923076923
30,151,116,0.01923076923076923
30,151,119,0
30,154,50,0.07476635514018691
30,154,53,0.05660377358490566
30,154,56,0.05660377358490566
30,154,59,0.05660377358490566
30,154,62,0.03809523809523809
30,154,65,0.03809523809523809
30,154,68,0.01923076923076923
30,154,71,0.01923076923076923
30,154,74,0.03809523809523809
30,154,77,0.03809523809523809
30,154,80,0.03809523809523809
30,154,83,0.03809523809523809
30,154,86,0.03809523809523809
30,154,89,0.05660377358490566
30,154,92,0.05660377358490566
30,154,95,0.03809523809523809
30,154,98,0.01923076923076923
30,154,101,0.01923076923076923
30,154,104,0.01923076923076923
30,154,107,0.01923076923076923
30,154,110,0.01923076923076923
30,154,113,0.01923076923076923
30,154,116,0.01923076923076923
30,154,119,0
30,157,50,0.07476635514018691
30,157,53,0.05660377358490566
30,157,56,0.05660377358490566
30,157,59,0.05660377358490566
30,157,62,0.03809523809523809
30,157,65,0.03809523809523809
30,157,68,0.01923076923076923
30,157,71,0.01923076923076923
30,157,74,0.01923076923076923
30,157,77,0.03809523809523809
30,157,80,0.03809523809523809
30,157,83,0.03809523809523809
30,157,86,0.05660377358490566
30,157,89,0.03809523809523809
30,157,92,0.03809523809523809
30,157,95,0
30,157,98,0.01923076923076923
30,157,101,0.01923076923076923
30,157,104,0.01923076923076923
30,157,107,0.01923076923076923
30,157,110,0.01923076923076923
30,157,113,0.01923076923076923
30,157,116,0.01923076923076923
30,157,119,0
30,160,50,0.03773584905660377
30,160,53,0.019047619047619046
30,160,56,0.03773584905660377
30,160,59,0.019047619047619046
30,160,62,0.019047619047619046
30,160,65,0.019047619047619046
30,160,68,0
30,160,71,0
30,160,74,0
30,160,77,0
30,160,80,0
30,160,83,0.019047619047619046
30,160,86,0.019047619047619046
30,160,89,0.019047619047619046
30,160,92,0.03773584905660377
30,160,95,0.019047619047619046
30,160,98,0.019047619047619046
30,160,101,0.03773584905660377
30,160,104,0.019047619047619046
30,160,107,0.019047619047619046
30,160,110,0.019047619047619046
30,160,113,0.019047619047619046
30,160,116,0.01923076923076923
30,160,119,0
